fecha,grupo,ticker,entry_long,tp_long,sl_long,entry_short,tp_short,sl_short
2026-09-18,tecnologicas,TSM,420.98118,441.41632,407.35776,432.33404,411.8989,445.95747
2026-09-18,tecnologicas,AAPL,327.00784,340.46383,318.03718,334.48339,321.0274,343.45405
2026-09-18,tecnologicas,NVDA,211.11115,222.78482,203.3287,217.59652,205.92285,225.37897
2026-09-18,tecnologicas,TSLA,351.51064,375.3571,335.613,364.75867,340.91221,380.65631
2026-09-18,tecnologicas,AMD,491.58646,535.99842,461.97849,516.25977,471.84781,545.86774
